Label;Split;Style;Tags
admires;['admires'];DES;DESV
admits;['admits'];DES;DESV
admonishes;['admonishes'];DES;DESV
adopts;['adopts'];DES;DESV
adores;['adores'];DES;DESV
adorns;['adorns'];DES;DESV
adulates;['adulates'];DES;DESV
adulterates;['adulterates'];DES;DESV
advances;['advances'];DES;DESV
advantages;['advantages'];DES;DESV
adventures;['adventures'];DES;DESV
advertises;['advertises'];DES;DESV
adverts;['adverts'];DES;DESV
advises;['advises'];DES;DESV
advocates;['advocates'];DES;DESV
aerates;['aerates'];DES;DESV
affects;['affects'];DES;DESV
affirms;['affirms'];DES;DESV
affixes;['affixes'];DES;DESV
afflicts;['afflicts'];DES;DESV
affords;['affords'];DES;DESV
afforests;['afforests'];DES;DESV
affronts;['affronts'];DES;DESV
ages;['ages'];DES;DESV
agglomerates;['agglomerates'];DES;DESV
agglutinates;['agglutinates'];DES;DESV
aggravates;['aggravates'];DES;DESV
aggregates;['aggregates'];DES;DESV
agitates;['agitates'];DES;DESV
agrees;['agrees'];DES;DESV
aids;['aids'];DES;DESV
ails;['ails'];DES;DESV
airmails;['airmails'];DES;DESV
airs;['airs'];DES;DESV
alarms;['alarms'];DES;DESV
alerts;['alerts'];DES;DESV
alienates;['alienates'];DES;DESV
alights;['alights'];DES;DESV
aligns;['aligns'];DES;DESV
allaies;['allaies'];DES;DESV
alleges;['alleges'];DES;DESV
alleviates;['alleviates'];DES;DESV
allies;['allies'];DES;DESV
allocates;['allocates'];DES;DESV
allots;['allots'];DES;DESV
allows;['allows'];DES;DESV
allures;['allures'];DES;DESV
alternates;['alternates'];DES;DESV
alters;['alters'];DES;DESV
amalgamates;['amalgamates'];DES;DESV
amasses;['amasses'];DES;DESV
amazes;['amazes'];DES;DESV
ambles;['ambles'];DES;DESV
ambushes;['ambushes'];DES;DESV
ameliorates;['ameliorates'];DES;DESV
amends;['amends'];DES;DESV
amplifies;['amplifies'];DES;DESV
amputates;['amputates'];DES;DESV
amuses;['amuses'];DES;DESV
analyses;['analyses'];DES;DESV
anchors;['anchors'];DES;DESV
angers;['angers'];DES;DESV
angles;['angles'];DES;DESV
animates;['animates'];DES;DESV
annexes;['annexes'];DES;DESV
annihilates;['annihilates'];DES;DESV
annoies;['annoies'];DES;DESV
annotates;['annotates'];DES;DESV
announces;['announces'];DES;DESV
annuls;['annuls'];DES;DESV
anoints;['anoints'];DES;DESV
answers;['answers'];DES;DESV
antedates;['antedates'];DES;DESV
anticipates;['anticipates'];DES;DESV
apes;['apes'];DES;DESV
appeals;['appeals'];DES;DESV
appears;['appears'];DES;DESV
appeases;['appeases'];DES;DESV
appends;['appends'];DES;DESV
applauds;['applauds'];DES;DESV
applies;['applies'];DES;DESV
apportions;['apportions'];DES;DESV
appraises;['appraises'];DES;DESV
appreciates;['appreciates'];DES;DESV
apprehends;['apprehends'];DES;DESV
apprentices;['apprentices'];DES;DESV
approaches;['approaches'];DES;DESV
appropriates;['appropriates'];DES;DESV
approves;['approves'];DES;DESV
arbitrates;['arbitrates'];DES;DESV
arches;['arches'];DES;DESV
arcs;['arcs'];DES;DESV
argues;['argues'];DES;DESV
arises;['arises'];DES;DESV
arms;['arms'];DES;DESV
arouses;['arouses'];DES;DESV
arraies;['arraies'];DES;DESV
arraigns;['arraigns'];DES;DESV
arranges;['arranges'];DES;DESV
arrests;['arrests'];DES;DESV
arrives;['arrives'];DES;DESV
arrogates;['arrogates'];DES;DESV
articulates;['articulates'];DES;DESV
ascertains;['ascertains'];DES;DESV
ascribes;['ascribes'];DES;DESV
asks;['asks'];DES;DESV
aspirates;['aspirates'];DES;DESV
assails;['assails'];DES;DESV
assassinates;['assassinates'];DES;DESV
assaults;['assaults'];DES;DESV
assembles;['assembles'];DES;DESV
assents;['assents'];DES;DESV
asserts;['asserts'];DES;DESV
assesses;['assesses'];DES;DESV
assigns;['assigns'];DES;DESV
assimilates;['assimilates'];DES;DESV
assists;['assists'];DES;DESV
associates;['associates'];DES;DESV
assorts;['assorts'];DES;DESV
assumes;['assumes'];DES;DESV
assures;['assures'];DES;DESV
astonishes;['astonishes'];DES;DESV
astounds;['astounds'];DES;DESV
atrophies;['atrophies'];DES;DESV
attaches;['attaches'];DES;DESV
attacks;['attacks'];DES;DESV
attains;['attains'];DES;DESV
attempts;['attempts'];DES;DESV
attends;['attends'];DES;DESV
attenuates;['attenuates'];DES;DESV
attests;['attests'];DES;DESV
attracts;['attracts'];DES;DESV
attributes;['attributes'];DES;DESV
attunes;['attunes'];DES;DESV
auditions;['auditions'];DES;DESV
audits;['audits'];DES;DESV
augments;['augments'];DES;DESV
augurs;['augurs'];DES;DESV
auscultates;['auscultates'];DES;DESV
authenticates;['authenticates'];DES;DESV
authors;['authors'];DES;DESV
autographs;['autographs'];DES;DESV
automates;['automates'];DES;DESV
avalanches;['avalanches'];DES;DESV
avenges;['avenges'];DES;DESV
averages;['averages'];DES;DESV
averts;['averts'];DES;DESV
avoids;['avoids'];DES;DESV
awaits;['awaits'];DES;DESV
awakens;['awakens'];DES;DESV
awakes;['awakes'];DES;DESV
awards;['awards'];DES;DESV
awes;['awes'];DES;DESV
baas;['baas'];DES;DESV
babbles;['babbles'];DES;DESV
babies;['babies'];DES;DESV
baby-sits;['baby-sits'];DES;DESV
backdates;['backdates'];DES;DESV
backfires;['backfires'];DES;DESV
backpacks;['backpacks'];DES;DESV
backs;['backs'];DES;DESV
backspaces;['backspaces'];DES;DESV
backtracks;['backtracks'];DES;DESV
badgers;['badgers'];DES;DESV
baffles;['baffles'];DES;DESV
bags;['bags'];DES;DESV
baies;['baies'];DES;DESV
bails;['bails'];DES;DESV
baits;['baits'];DES;DESV
bakes;['bakes'];DES;DESV
balances;['balances'];DES;DESV
bales;['bales'];DES;DESV
balloons;['balloons'];DES;DESV
ballots;['ballots'];DES;DESV
bandages;['bandages'];DES;DESV
bands;['bands'];DES;DESV
bangs;['bangs'];DES;DESV
banishes;['banishes'];DES;DESV
bankrupts;['bankrupts'];DES;DESV
banks;['banks'];DES;DESV
bans;['bans'];DES;DESV
banters;['banters'];DES;DESV
barbecues;['barbecues'];DES;DESV
bards;['bards'];DES;DESV
bares;['bares'];DES;DESV
bargains;['bargains'];DES;DESV
barks;['barks'];DES;DESV
barricades;['barricades'];DES;DESV
bars;['bars'];DES;DESV
barters;['barters'];DES;DESV
bases;['bases'];DES;DESV
bashes;['bashes'];DES;DESV
basks;['basks'];DES;DESV
batches;['batches'];DES;DESV
bathes;['bathes'];DES;DESV
baths;['baths'];DES;DESV
bats;['bats'];DES;DESV
batters;['batters'];DES;DESV
battles;['battles'];DES;DESV
bawls;['bawls'];DES;DESV
beaches;['beaches'];DES;DESV
beads;['beads'];DES;DESV
beams;['beams'];DES;DESV
beatifies;['beatifies'];DES;DESV
beats;['beats'];DES;DESV
beautifies;['beautifies'];DES;DESV
beckons;['beckons'];DES;DESV
becomes;['becomes'];DES;DESV
bedecks;['bedecks'];DES;DESV
bedevils;['bedevils'];DES;DESV
beds;['beds'];DES;DESV
beefs;['beefs'];DES;DESV
beeps;['beeps'];DES;DESV
beetles;['beetles'];DES;DESV
befalls;['befalls'];DES;DESV
befits;['befits'];DES;DESV
befriends;['befriends'];DES;DESV
befuddles;['befuddles'];DES;DESV
begets;['begets'];DES;DESV
begins;['begins'];DES;DESV
begs;['begs'];DES;DESV
beguiles;['beguiles'];DES;DESV
behaves;['behaves'];DES;DESV
beheads;['beheads'];DES;DESV
beholds;['beholds'];DES;DESV
belches;['belches'];DES;DESV
belies;['belies'];DES;DESV
believes;['believes'];DES;DESV
belittles;['belittles'];DES;DESV
bellows;['bellows'];DES;DESV
belongs;['belongs'];DES;DESV
belts;['belts'];DES;DESV
bemuses;['bemuses'];DES;DESV
bends;['bends'];DES;DESV
benefits;['benefits'];DES;DESV
benumbs;['benumbs'];DES;DESV
bequeaths;['bequeaths'];DES;DESV
berates;['berates'];DES;DESV
bereaves;['bereaves'];DES;DESV
berths;['berths'];DES;DESV
bes;['bes'];DES;DESV
beseeches;['beseeches'];DES;DESV
besets;['besets'];DES;DESV
besmirches;['besmirches'];DES;DESV
bespeaks;['bespeaks'];DES;DESV
bestows;['bestows'];DES;DESV
bestrews;['bestrews'];DES;DESV
bestrides;['bestrides'];DES;DESV
betraies;['betraies'];DES;DESV
betroths;['betroths'];DES;DESV
bets;['bets'];DES;DESV
betters;['betters'];DES;DESV
bewilders;['bewilders'];DES;DESV
bewitches;['bewitches'];DES;DESV
bickers;['bickers'];DES;DESV
bicycles;['bicycles'];DES;DESV
bids;['bids'];DES;DESV
bifurcates;['bifurcates'];DES;DESV
bikes;['bikes'];DES;DESV
bilks;['bilks'];DES;DESV
billets;['billets'];DES;DESV
billows;['billows'];DES;DESV
bills;['bills'];DES;DESV
binds;['binds'];DES;DESV
bisects;['bisects'];DES;DESV
bitches;['bitches'];DES;DESV
bites;['bites'];DES;DESV
bivouacs;['bivouacs'];DES;DESV
blabs;['blabs'];DES;DESV
blackens;['blackens'];DES;DESV
blacklists;['blacklists'];DES;DESV
blackmails;['blackmails'];DES;DESV
blacks;['blacks'];DES;DESV
blames;['blames'];DES;DESV
blanches;['blanches'];DES;DESV
blankets;['blankets'];DES;DESV
blares;['blares'];DES;DESV
blasphemes;['blasphemes'];DES;DESV
blasts;['blasts'];DES;DESV
blathers;['blathers'];DES;DESV
blazes;['blazes'];DES;DESV
blazons;['blazons'];DES;DESV
bleaches;['bleaches'];DES;DESV
bleats;['bleats'];DES;DESV
bleeds;['bleeds'];DES;DESV
bleeps;['bleeps'];DES;DESV
blemishes;['blemishes'];DES;DESV
blends;['blends'];DES;DESV
blesses;['blesses'];DES;DESV
blights;['blights'];DES;DESV
blindfolds;['blindfolds'];DES;DESV
blinds;['blinds'];DES;DESV
blinks;['blinks'];DES;DESV
blisters;['blisters'];DES;DESV
blitzes;['blitzes'];DES;DESV
blockades;['blockades'];DES;DESV
blocks;['blocks'];DES;DESV
blooms;['blooms'];DES;DESV
blossoms;['blossoms'];DES;DESV
blots;['blots'];DES;DESV
blows;['blows'];DES;DESV
bludgeons;['bludgeons'];DES;DESV
bluffs;['bluffs'];DES;DESV
blunders;['blunders'];DES;DESV
blunts;['blunts'];DES;DESV
blurs;['blurs'];DES;DESV
blurts;['blurts'];DES;DESV
blushes;['blushes'];DES;DESV
blusters;['blusters'];DES;DESV
boards;['boards'];DES;DESV
boasts;['boasts'];DES;DESV
boats;['boats'];DES;DESV
bobs;['bobs'];DES;DESV
bodges;['bodges'];DES;DESV
boggles;['boggles'];DES;DESV
bogs;['bogs'];DES;DESV
boils;['boils'];DES;DESV
bolsters;['bolsters'];DES;DESV
bolts;['bolts'];DES;DESV
bombards;['bombards'];DES;DESV
bombs;['bombs'];DES;DESV
bonds;['bonds'];DES;DESV
bones;['bones'];DES;DESV
boobs;['boobs'];DES;DESV
books;['books'];DES;DESV
boomerangs;['boomerangs'];DES;DESV
booms;['booms'];DES;DESV
boosts;['boosts'];DES;DESV
bootlegs;['bootlegs'];DES;DESV
boots;['boots'];DES;DESV
borders;['borders'];DES;DESV
bores;['bores'];DES;DESV
bosses;['bosses'];DES;DESV
botches;['botches'];DES;DESV
bothers;['bothers'];DES;DESV
bottle-feeds;['bottle-feeds'];DES;DESV
bottles;['bottles'];DES;DESV
bottoms;['bottoms'];DES;DESV
bounces;['bounces'];DES;DESV
bounds;['bounds'];DES;DESV
bowls;['bowls'];DES;DESV
bows;['bows'];DES;DESV
boxes;['boxes'];DES;DESV
braces;['braces'];DES;DESV
brackets;['brackets'];DES;DESV
brags;['brags'];DES;DESV
brakes;['brakes'];DES;DESV
branches;['branches'];DES;DESV
brandishes;['brandishes'];DES;DESV
brands;['brands'];DES;DESV
braves;['braves'];DES;DESV
brawls;['brawls'];DES;DESV
breaches;['breaches'];DES;DESV
breakfasts;['breakfasts'];DES;DESV
breaks;['breaks'];DES;DESV
breast-feeds;['breast-feeds'];DES;DESV
breathalyzes;['breathalyzes'];DES;DESV
breathes;['breathes'];DES;DESV
breeds;['breeds'];DES;DESV
breezes;['breezes'];DES;DESV
brews;['brews'];DES;DESV
bribes;['bribes'];DES;DESV
bridges;['bridges'];DES;DESV
bridles;['bridles'];DES;DESV
briefs;['briefs'];DES;DESV
brightens;['brightens'];DES;DESV
brims;['brims'];DES;DESV
brings;['brings'];DES;DESV
bristles;['bristles'];DES;DESV
broaches;['broaches'];DES;DESV
broadcasts;['broadcasts'];DES;DESV
broadens;['broadens'];DES;DESV
broils;['broils'];DES;DESV
bronzes;['bronzes'];DES;DESV
broods;['broods'];DES;DESV
browbeats;['browbeats'];DES;DESV
browns;['browns'];DES;DESV
browses;['browses'];DES;DESV
bruises;['bruises'];DES;DESV
brushes;['brushes'];DES;DESV
bubbles;['bubbles'];DES;DESV
buckles;['buckles'];DES;DESV
bucks;['bucks'];DES;DESV
budges;['budges'];DES;DESV
budgets;['budgets'];DES;DESV
buds;['buds'];DES;DESV
buffers;['buffers'];DES;DESV
bugs;['bugs'];DES;DESV
buies;['buies'];DES;DESV
builds;['builds'];DES;DESV
bulges;['bulges'];DES;DESV
bulldozes;['bulldozes'];DES;DESV
bullies;['bullies'];DES;DESV
bumps;['bumps'];DES;DESV
bums;['bums'];DES;DESV
bunches;['bunches'];DES;DESV
bundles;['bundles'];DES;DESV
bungles;['bungles'];DES;DESV
bunks;['bunks'];DES;DESV
buoies;['buoies'];DES;DESV
burbles;['burbles'];DES;DESV
burdens;['burdens'];DES;DESV
burgeons;['burgeons'];DES;DESV
burgles;['burgles'];DES;DESV
buries;['buries'];DES;DESV
burnishes;['burnishes'];DES;DESV
burps;['burps'];DES;DESV
burrows;['burrows'];DES;DESV
buses;['buses'];DES;DESV
busies;['busies'];DES;DESV
busks;['busks'];DES;DESV
bustles;['bustles'];DES;DESV
butchers;['butchers'];DES;DESV
butters;['butters'];DES;DESV
buttons;['buttons'];DES;DESV
buttresses;['buttresses'];DES;DESV
butts;['butts'];DES;DESV
buzzes;['buzzes'];DES;DESV
bypasses;['bypasses'];DES;DESV
cables;['cables'];DES;DESV
caches;['caches'];DES;DESV
cackles;['cackles'];DES;DESV
cages;['cages'];DES;DESV
cajoles;['cajoles'];DES;DESV
calculates;['calculates'];DES;DESV
calibrates;['calibrates'];DES;DESV
calks;['calks'];DES;DESV
calls;['calls'];DES;DESV
camps;['camps'];DES;DESV
canes;['canes'];DES;DESV
cants;['cants'];DES;DESV
canvasses;['canvasses'];DES;DESV
capers;['capers'];DES;DESV
capitulates;['capitulates'];DES;DESV
caps;['caps'];DES;DESV
captains;['captains'];DES;DESV
captions;['captions'];DES;DESV
captivates;['captivates'];DES;DESV
captures;['captures'];DES;DESV
careers;['careers'];DES;DESV
cares;['cares'];DES;DESV
carpets;['carpets'];DES;DESV
carps;['carps'];DES;DESV
carries;['carries'];DES;DESV
carts;['carts'];DES;DESV
carves;['carves'];DES;DESV
cascades;['cascades'];DES;DESV
cases;['cases'];DES;DESV
cashes;['cashes'];DES;DESV
castigates;['castigates'];DES;DESV
castrates;['castrates'];DES;DESV
casts;['casts'];DES;DESV
catapults;['catapults'];DES;DESV
catches;['catches'];DES;DESV
caters;['caters'];DES;DESV
catnaps;['catnaps'];DES;DESV
causes;['causes'];DES;DESV
cautions;['cautions'];DES;DESV
caves;['caves'];DES;DESV
cavils;['cavils'];DES;DESV
cavorts;['cavorts'];DES;DESV
ceases;['ceases'];DES;DESV
celebrates;['celebrates'];DES;DESV
cements;['cements'];DES;DESV
censors;['censors'];DES;DESV
censures;['censures'];DES;DESV
centers;['centers'];DES;DESV
centres;['centres'];DES;DESV
certifies;['certifies'];DES;DESV
chain-smokes;['chain-smokes'];DES;DESV
chains;['chains'];DES;DESV
chairs;['chairs'];DES;DESV
chalks;['chalks'];DES;DESV
challenges;['challenges'];DES;DESV
champions;['champions'];DES;DESV
chances;['chances'];DES;DESV
changes;['changes'];DES;DESV
channels;['channels'];DES;DESV
chants;['chants'];DES;DESV
charges;['charges'];DES;DESV
charms;['charms'];DES;DESV
chars;['chars'];DES;DESV
charters;['charters'];DES;DESV
charts;['charts'];DES;DESV
chases;['chases'];DES;DESV
chastens;['chastens'];DES;DESV
chastises;['chastises'];DES;DESV
chats;['chats'];DES;DESV
chatters;['chatters'];DES;DESV
cheapens;['cheapens'];DES;DESV
cheats;['cheats'];DES;DESV
checkmates;['checkmates'];DES;DESV
checks;['checks'];DES;DESV
cheeks;['cheeks'];DES;DESV
cheeps;['cheeps'];DES;DESV
cheers;['cheers'];DES;DESV
cherishes;['cherishes'];DES;DESV
chevies;['chevies'];DES;DESV
chews;['chews'];DES;DESV
chides;['chides'];DES;DESV
chills;['chills'];DES;DESV
chimes;['chimes'];DES;DESV
chips;['chips'];DES;DESV
chirps;['chirps'];DES;DESV
chisels;['chisels'];DES;DESV
chokes;['chokes'];DES;DESV
chomps;['chomps'];DES;DESV
chooses;['chooses'];DES;DESV
chops;['chops'];DES;DESV
chortles;['chortles'];DES;DESV
choruses;['choruses'];DES;DESV
christens;['christens'];DES;DESV
chronicles;['chronicles'];DES;DESV
chuckles;['chuckles'];DES;DESV
chucks;['chucks'];DES;DESV
chugs;['chugs'];DES;DESV
churns;['churns'];DES;DESV
ciphers;['ciphers'];DES;DESV
circles;['circles'];DES;DESV
circulates;['circulates'];DES;DESV
circumcises;['circumcises'];DES;DESV
circumnavigates;['circumnavigates'];DES;DESV
circumscribes;['circumscribes'];DES;DESV
circumvents;['circumvents'];DES;DESV
cites;['cites'];DES;DESV
clacks;['clacks'];DES;DESV
claims;['claims'];DES;DESV
clambers;['clambers'];DES;DESV
clamps;['clamps'];DES;DESV
clanks;['clanks'];DES;DESV
claps;['claps'];DES;DESV
clarifies;['clarifies'];DES;DESV
clashes;['clashes'];DES;DESV
clasps;['clasps'];DES;DESV
classes;['classes'];DES;DESV
classifies;['classifies'];DES;DESV
clatters;['clatters'];DES;DESV
claws;['claws'];DES;DESV
cleans;['cleans'];DES;DESV
cleanses;['cleanses'];DES;DESV
clears;['clears'];DES;DESV
cleaves;['cleaves'];DES;DESV
clenches;['clenches'];DES;DESV
clerks;['clerks'];DES;DESV
clicks;['clicks'];DES;DESV
climbs;['climbs'];DES;DESV
clinks;['clinks'];DES;DESV
clips;['clips'];DES;DESV
clobbers;['clobbers'];DES;DESV
clocks;['clocks'];DES;DESV
clogs;['clogs'];DES;DESV
clones;['clones'];DES;DESV
closes;['closes'];DES;DESV
clothes;['clothes'];DES;DESV
clots;['clots'];DES;DESV
clouds;['clouds'];DES;DESV
clouts;['clouts'];DES;DESV
clubs;['clubs'];DES;DESV
clumps;['clumps'];DES;DESV
clusters;['clusters'];DES;DESV
clutches;['clutches'];DES;DESV
clutters;['clutters'];DES;DESV
co-stars;['co-stars'];DES;DESV
coaches;['coaches'];DES;DESV
coagulates;['coagulates'];DES;DESV
coalesces;['coalesces'];DES;DESV
coarsens;['coarsens'];DES;DESV
coasts;['coasts'];DES;DESV
coats;['coats'];DES;DESV
coaxes;['coaxes'];DES;DESV
cobbles;['cobbles'];DES;DESV
cocoons;['cocoons'];DES;DESV
coddles;['coddles'];DES;DESV
codes;['codes'];DES;DESV
codifies;['codifies'];DES;DESV
coerces;['coerces'];DES;DESV
coexists;['coexists'];DES;DESV
cogitates;['cogitates'];DES;DESV
cohabits;['cohabits'];DES;DESV
coils;['coils'];DES;DESV
coincides;['coincides'];DES;DESV
coins;['coins'];DES;DESV
collaborates;['collaborates'];DES;DESV
collapses;['collapses'];DES;DESV
collars;['collars'];DES;DESV
collates;['collates'];DES;DESV
collects;['collects'];DES;DESV
collides;['collides'];DES;DESV
combats;['combats'];DES;DESV
combs;['combs'];DES;DESV
comes;['comes'];DES;DESV
comforts;['comforts'];DES;DESV
commandeers;['commandeers'];DES;DESV
commands;['commands'];DES;DESV
commemorates;['commemorates'];DES;DESV
commences;['commences'];DES;DESV
commends;['commends'];DES;DESV
comments;['comments'];DES;DESV
commissions;['commissions'];DES;DESV
commits;['commits'];DES;DESV
communicates;['communicates'];DES;DESV
commutes;['commutes'];DES;DESV
compacts;['compacts'];DES;DESV
compares;['compares'];DES;DESV
compels;['compels'];DES;DESV
compensates;['compensates'];DES;DESV
competes;['competes'];DES;DESV
compiles;['compiles'];DES;DESV
complements;['complements'];DES;DESV
completes;['completes'];DES;DESV
complicates;['complicates'];DES;DESV
complies;['complies'];DES;DESV
compliments;['compliments'];DES;DESV
composes;['composes'];DES;DESV
composts;['composts'];DES;DESV
compounds;['compounds'];DES;DESV
comprehends;['comprehends'];DES;DESV
compresses;['compresses'];DES;DESV
comprises;['comprises'];DES;DESV
compromises;['compromises'];DES;DESV
computes;['computes'];DES;DESV
concatenates;['concatenates'];DES;DESV
conceals;['conceals'];DES;DESV
concedes;['concedes'];DES;DESV
conceives;['conceives'];DES;DESV
concentrates;['concentrates'];DES;DESV
concerns;['concerns'];DES;DESV
concerts;['concerts'];DES;DESV
conciliates;['conciliates'];DES;DESV
concludes;['concludes'];DES;DESV
concocts;['concocts'];DES;DESV
concurs;['concurs'];DES;DESV
concusses;['concusses'];DES;DESV
condemns;['condemns'];DES;DESV
condenses;['condenses'];DES;DESV
conditions;['conditions'];DES;DESV
condones;['condones'];DES;DESV
conducts;['conducts'];DES;DESV
confederates;['confederates'];DES;DESV
confers;['confers'];DES;DESV
confesses;['confesses'];DES;DESV
confides;['confides'];DES;DESV
configures;['configures'];DES;DESV
confines;['confines'];DES;DESV
confirms;['confirms'];DES;DESV
confiscates;['confiscates'];DES;DESV
conforms;['conforms'];DES;DESV
confounds;['confounds'];DES;DESV
confronts;['confronts'];DES;DESV
confuses;['confuses'];DES;DESV
congeals;['congeals'];DES;DESV
congests;['congests'];DES;DESV
conglomerates;['conglomerates'];DES;DESV
congregates;['congregates'];DES;DESV
conjectures;['conjectures'];DES;DESV
conjugates;['conjugates'];DES;DESV
conjures;['conjures'];DES;DESV
connects;['connects'];DES;DESV
connotes;['connotes'];DES;DESV
conquers;['conquers'];DES;DESV
cons;['cons'];DES;DESV
conscripts;['conscripts'];DES;DESV
consecrates;['consecrates'];DES;DESV
conserves;['conserves'];DES;DESV
considers;['considers'];DES;DESV
consigns;['consigns'];DES;DESV
consoles;['consoles'];DES;DESV
consolidates;['consolidates'];DES;DESV
conspires;['conspires'];DES;DESV
constipates;['constipates'];DES;DESV
constitutes;['constitutes'];DES;DESV
constrains;['constrains'];DES;DESV
constricts;['constricts'];DES;DESV
constructs;['constructs'];DES;DESV
construes;['construes'];DES;DESV
consults;['consults'];DES;DESV
consumes;['consumes'];DES;DESV
consummates;['consummates'];DES;DESV
contacts;['contacts'];DES;DESV
contains;['contains'];DES;DESV
contaminates;['contaminates'];DES;DESV
contemplates;['contemplates'];DES;DESV
contends;['contends'];DES;DESV
contests;['contests'];DES;DESV
continues;['continues'];DES;DESV
contorts;['contorts'];DES;DESV
contracts;['contracts'];DES;DESV
contradicts;['contradicts'];DES;DESV
contrasts;['contrasts'];DES;DESV
contravenes;['contravenes'];DES;DESV
contributes;['contributes'];DES;DESV
contrives;['contrives'];DES;DESV
controls;['controls'];DES;DESV
convalesces;['convalesces'];DES;DESV
conveies;['conveies'];DES;DESV
convenes;['convenes'];DES;DESV
converges;['converges'];DES;DESV
converses;['converses'];DES;DESV
converts;['converts'];DES;DESV
convoies;['convoies'];DES;DESV
convokes;['convokes'];DES;DESV
convulses;['convulses'];DES;DESV
cooes;['cooes'];DES;DESV
cooks;['cooks'];DES;DESV
cools;['cools'];DES;DESV
cooperates;['cooperates'];DES;DESV
coopts;['coopts'];DES;DESV
coordinates;['coordinates'];DES;DESV
copes;['copes'];DES;DESV
copies;['copies'];DES;DESV
cops;['cops'];DES;DESV
copulates;['copulates'];DES;DESV
copyrights;['copyrights'];DES;DESV
corners;['corners'];DES;DESV
corrects;['corrects'];DES;DESV
correlates;['correlates'];DES;DESV
corresponds;['corresponds'];DES;DESV
corroborates;['corroborates'];DES;DESV
corrodes;['corrodes'];DES;DESV
corrupts;['corrupts'];DES;DESV
coshes;['coshes'];DES;DESV
cossets;['cossets'];DES;DESV
couches;['couches'];DES;DESV
coughs;['coughs'];DES;DESV
counteracts;['counteracts'];DES;DESV
counterbalances;['counterbalances'];DES;DESV
counterfeits;['counterfeits'];DES;DESV
counters;['counters'];DES;DESV
countersigns;['countersigns'];DES;DESV
counts;['counts'];DES;DESV
couples;['couples'];DES;DESV
courts;['courts'];DES;DESV
covers;['covers'];DES;DESV
covets;['covets'];DES;DESV
cowers;['cowers'];DES;DESV
cows;['cows'];DES;DESV
crackles;['crackles'];DES;DESV
cracks;['cracks'];DES;DESV
cradles;['cradles'];DES;DESV
crams;['crams'];DES;DESV
crane one's necks;['crane one's necks'];DES;DESV
crashes;['crashes'];DES;DESV
craves;['craves'];DES;DESV
crawls;['crawls'];DES;DESV
creaks;['creaks'];DES;DESV
creams;['creams'];DES;DESV
creases;['creases'];DES;DESV
creates;['creates'];DES;DESV
credits;['credits'];DES;DESV
creeps;['creeps'];DES;DESV
cremates;['cremates'];DES;DESV
crews;['crews'];DES;DESV
cries;['cries'];DES;DESV
cringes;['cringes'];DES;DESV
crinkles;['crinkles'];DES;DESV
cripples;['cripples'];DES;DESV
croaks;['croaks'];DES;DESV
crooks;['crooks'];DES;DESV
croons;['croons'];DES;DESV
crops;['crops'];DES;DESV
cross-checks;['cross-checks'];DES;DESV
cross-examines;['cross-examines'];DES;DESV
cross-questions;['cross-questions'];DES;DESV
cross-references;['cross-references'];DES;DESV
